DateTime,Open,High,Low,Close,
20160901092500,22773.0,22793.0,22765.0,22785.0,
20160901093000,22787.0,22855.0,22779.0,22839.0,
20160901093500,22837.0,22860.0,22824.0,22835.0,
20160901094000,22834.0,22849.0,22822.0,22841.0,
20160901094500,22843.0,22844.0,22797.0,22827.0,
20160901095000,22827.0,22836.0,22818.0,22831.0,
20160901095500,22832.0,22855.0,22813.0,22840.0,
20160901100000,22841.0,22875.0,22833.0,22873.0,
20160901100500,22874.0,22956.0,22864.0,22936.0,
20160901101000,22936.0,22977.0,22929.0,22964.0,
20160901101500,22965.0,23022.0,22962.0,23009.0,
20160901102000,23008.0,23013.0,22986.0,22988.0,
20160901102500,22987.0,23003.0,22982.0,22994.0,
20160901103000,22996.0,23010.0,22972.0,23001.0,
20160901103500,23000.0,23010.0,22987.0,23003.0,
20160901104000,23003.0,23014.0,22989.0,22993.0,
20160901104500,22991.0,22995.0,22977.0,22979.0,
20160901105000,22979.0,22983.0,22958.0,22963.0,
20160901105500,22963.0,22983.0,22959.0,22981.0,
20160901110000,22980.0,22997.0,22977.0,22985.0,
20160901110500,22985.0,22995.0,22982.0,22986.0,
20160901111000,22986.0,22998.0,22983.0,22993.0,
20160901111500,22993.0,23000.0,22988.0,23000.0,
20160901112000,23000.0,23009.0,22984.0,22991.0,
20160901112500,22992.0,23004.0,22987.0,23002.0,
20160901113000,23004.0,23095.0,23002.0,23081.0,
20160901113500,23083.0,23089.0,23073.0,23081.0,
20160901114000,23081.0,23083.0,23068.0,23077.0,
20160901114500,23076.0,23080.0,23060.0,23067.0,
20160901115000,23066.0,23074.0,23060.0,23071.0,
20160901115500,23073.0,23075.0,23055.0,23060.0,
20160901125500,23058.0,23058.0,23058.0,23058.0,
20160901130000,23068.0,23087.0,23059.0,23083.0,
20160901130500,23083.0,23086.0,23073.0,23074.0,
20160901131000,23074.0,23080.0,23068.0,23068.0,
20160901131500,23067.0,23069.0,23051.0,23062.0,
20160901132000,23064.0,23071.0,23058.0,23062.0,
20160901132500,23060.0,23061.0,23046.0,23049.0,
20160901133000,23050.0,23063.0,23044.0,23058.0,
20160901133500,23059.0,23065.0,23055.0,23061.0,
20160901134000,23060.0,23072.0,23058.0,23066.0,
20160901134500,23066.0,23067.0,23054.0,23060.0,
20160901135000,23062.0,23066.0,23055.0,23064.0,
20160901135500,23065.0,23117.0,23065.0,23114.0,
20160901140000,23113.0,23126.0,23102.0,23105.0,
20160901140500,23106.0,23115.0,23096.0,23100.0,
20160901141000,23101.0,23107.0,23092.0,23103.0,
20160901141500,23104.0,23114.0,23096.0,23102.0,
20160901142000,23101.0,23107.0,23093.0,23105.0,
20160901142500,23105.0,23117.0,23100.0,23103.0,
20160901143000,23104.0,23105.0,23086.0,23089.0,
20160901143500,23089.0,23091.0,23068.0,23080.0,
20160901144000,23079.0,23085.0,23059.0,23061.0,
20160901144500,23061.0,23076.0,23058.0,23068.0,
20160901145000,23068.0,23078.0,23067.0,23074.0,
20160901145500,23073.0,23087.0,23067.0,23071.0,
20160901150000,23070.0,23121.0,23062.0,23114.0,
20160901150500,23114.0,23129.0,23096.0,23108.0,
20160901151000,23107.0,23109.0,23095.0,23100.0,
20160901151500,23099.0,23115.0,23096.0,23108.0,
20160901152000,23108.0,23124.0,23105.0,23121.0,
20160901152500,23121.0,23139.0,23113.0,23115.0,
20160901153000,23115.0,23129.0,23105.0,23121.0,
20160901153500,23122.0,23143.0,23119.0,23127.0,
20160901154000,23128.0,23136.0,23117.0,23120.0,
20160901154500,23121.0,23127.0,23113.0,23120.0,
20160901155000,23120.0,23125.0,23105.0,23108.0,
20160901155500,23108.0,23128.0,23103.0,23117.0,
20160901160000,23116.0,23122.0,23108.0,23110.0,
20160901160500,23108.0,23119.0,23101.0,23117.0,
20160901161000,23116.0,23142.0,23114.0,23124.0,
20160901161500,23125.0,23140.0,23122.0,23140.0,
20160901162000,23140.0,23149.0,23135.0,23139.0,
20160901162500,23140.0,23178.0,23138.0,23178.0,
20160902091000,23100.0,23100.0,23100.0,23100.0,
20160902091500,23100.0,23133.0,23075.0,23120.0,
20160902092000,23121.0,23149.0,23104.0,23140.0,
20160902092500,23140.0,23140.0,23086.0,23118.0,
20160902093000,23119.0,23190.0,23108.0,23187.0,
20160902093500,23189.0,23216.0,23177.0,23200.0,
20160902094000,23201.0,23207.0,23153.0,23174.0,
20160902094500,23174.0,23186.0,23165.0,23166.0,
20160902095000,23165.0,23168.0,23120.0,23137.0,
20160902095500,23136.0,23154.0,23131.0,23146.0,
20160902100000,23144.0,23157.0,23127.0,23148.0,
20160902100500,23148.0,23172.0,23147.0,23167.0,
20160902101000,23168.0,23189.0,23163.0,23188.0,
20160902101500,23187.0,23192.0,23171.0,23183.0,
20160902102000,23184.0,23236.0,23182.0,23231.0,
20160902102500,23233.0,23265.0,23229.0,23248.0,
20160902103000,23249.0,23257.0,23224.0,23227.0,
20160902103500,23227.0,23235.0,23213.0,23219.0,
20160902104000,23219.0,23225.0,23201.0,23204.0,
20160902104500,23204.0,23209.0,23188.0,23209.0,
20160902105000,23208.0,23225.0,23201.0,23212.0,
20160902105500,23212.0,23216.0,23193.0,23195.0,
20160902110000,23195.0,23206.0,23193.0,23199.0,
20160902110500,23199.0,23211.0,23187.0,23210.0,
20160902111000,23211.0,23213.0,23205.0,23209.0,
20160902111500,23208.0,23233.0,23208.0,23225.0,
20160902112000,23226.0,23232.0,23221.0,23223.0,
20160902112500,23222.0,23232.0,23214.0,23229.0,
20160902113000,23227.0,23237.0,23213.0,23217.0,
20160902113500,23216.0,23230.0,23215.0,23224.0,
20160902114000,23222.0,23226.0,23214.0,23216.0,
20160902114500,23216.0,23219.0,23197.0,23206.0,
20160902115000,23206.0,23207.0,23192.0,23194.0,
20160902115500,23196.0,23204.0,23187.0,23204.0,
20160902125500,23204.0,23204.0,23204.0,23204.0,
20160902130000,23205.0,23219.0,23195.0,23200.0,
20160902130500,23198.0,23207.0,23197.0,23207.0,
20160902131000,23207.0,23222.0,23204.0,23222.0,
20160902131500,23222.0,23223.0,23208.0,23209.0,
20160902132000,23209.0,23222.0,23208.0,23218.0,
20160902132500,23218.0,23227.0,23213.0,23220.0,
20160902133000,23221.0,23223.0,23192.0,23200.0,
20160902133500,23199.0,23206.0,23192.0,23202.0,
20160902134000,23202.0,23209.0,23201.0,23209.0,
20160902134500,23209.0,23214.0,23191.0,23196.0,
20160902135000,23196.0,23207.0,23190.0,23204.0,
20160902135500,23205.0,23216.0,23201.0,23210.0,
20160902140000,23211.0,23237.0,23201.0,23219.0,
20160902140500,23218.0,23245.0,23217.0,23238.0,
20160902141000,23237.0,23268.0,23233.0,23264.0,
20160902141500,23265.0,23280.0,23246.0,23249.0,
20160902142000,23248.0,23253.0,23235.0,23240.0,
20160902142500,23239.0,23244.0,23232.0,23240.0,
20160902143000,23240.0,23246.0,23236.0,23239.0,
20160902143500,23239.0,23244.0,23228.0,23244.0,
20160902144000,23244.0,23256.0,23241.0,23252.0,
20160902144500,23251.0,23254.0,23222.0,23235.0,
20160902145000,23234.0,23241.0,23226.0,23231.0,
20160902145500,23231.0,23236.0,23223.0,23233.0,
20160902150000,23233.0,23240.0,23213.0,23230.0,
20160902150500,23232.0,23234.0,23191.0,23196.0,
20160902151000,23195.0,23204.0,23181.0,23201.0,
20160902151500,23200.0,23203.0,23193.0,23199.0,
20160902152000,23198.0,23198.0,23171.0,23173.0,
20160902152500,23173.0,23185.0,23164.0,23173.0,
20160902153000,23172.0,23184.0,23168.0,23171.0,
20160902153500,23172.0,23184.0,23156.0,23182.0,
20160902154000,23183.0,23195.0,23178.0,23191.0,
20160902154500,23192.0,23208.0,23192.0,23206.0,
20160902155000,23206.0,23216.0,23197.0,23199.0,
20160902155500,23200.0,23218.0,23200.0,23201.0,
20160902160000,23203.0,23215.0,23187.0,23190.0,
20160902160500,23190.0,23203.0,23179.0,23201.0,
20160902161000,23201.0,23212.0,23194.0,23202.0,
20160902161500,23202.0,23224.0,23201.0,23220.0,
20160902162000,23221.0,23225.0,23205.0,23215.0,
20160902162500,23216.0,23216.0,23194.0,23211.0,
20160905091000,23440.0,23440.0,23440.0,23440.0,
20160905091500,23432.0,23526.0,23419.0,23525.0,
20160905092000,23526.0,23558.0,23512.0,23520.0,
20160905092500,23520.0,23532.0,23510.0,23530.0,
20160905092900,23532.0,23549.0,23498.0,23538.0,
20160905093400,23540.0,23580.0,23521.0,23521.0,
20160905093900,23521.0,23541.0,23481.0,23503.0,
20160905094400,23504.0,23521.0,23487.0,23497.0,
20160905094900,23495.0,23546.0,23492.0,23508.0,
20160905095400,23509.0,23522.0,23502.0,23510.0,
20160905095900,23512.0,23555.0,23509.0,23532.0,
20160905100400,23533.0,23569.0,23527.0,23554.0,
20160905100900,23553.0,23575.0,23542.0,23548.0,
